uf,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,117,118
AC,1634,1330,1255,1312,1464,1585,1614,1736,1881,2002,2066,2244,2167,2259,2396,2522,2659,2577,2700,2778,2904,3055,2972,2941,2995,2899,2914,2877,2773,2787,2764,2552,2401,2329,2306,2129,2014,1948,1831,1782,1785,1663,1600,1545,1512,1367,1269,1246,1219,1210,1110,1043,1036,968,887,898,847,792,752,634,640,571,511,541,454,456,406,405,404,366,337,328,291,245,225,239,196,182,163,146,129,116,93,86,78,58,47,50,36,41,30,28,22,14,14,9,7,8,4,5,3,,4,2,1,1,,,,1,,,,,,,,
AL,3084,1934,1969,2094,2302,2339,2421,2571,2693,2888,2871,3075,3270,3432,3586,3778,3816,3788,3791,3769,3664,3838,3633,3724,3650,3487,3435,3408,3218,3152,2970,2919,2739,2669,2420,2397,2131,2202,2013,1949,1864,1759,1712,1635,1529,1497,1472,1374,1386,1248,1226,1068,1063,973,946,884,809,747,701,688,636,553,504,439,426,388,395,336,295,309,247,208,229,216,153,179,166,135,123,104,81,72,65,77,57,47,27,35,19,23,18,11,10,11,13,14,12,9,7,5,6,4,4,2,,3,2,,,2,,,,,,,,1
AM,3181,2447,1949,1945,2162,2249,2239,2560,2542,2671,2894,2774,2936,2936,2916,2539,2695,2543,2644,2740,2681,2667,2713,2766,2722,2626,2670,2593,2641,2470,2537,2333,2267,2232,2109,2011,1799,1812,1743,1543,1659,1553,1414,1329,1271,1290,1217,1232,1186,1126,1074,1009,950,870,833,851,809,773,660,639,634,529,493,485,385,373,332,347,315,248,265,240,211,194,194,183,160,158,123,99,121,71,76,58,41,32,37,29,25,24,26,20,17,6,14,7,7,4,2,7,5,4,3,1,1,1,3,,,1,1,2,,,,,,
AP,503,300,254,255,291,324,320,326,335,388,382,434,431,370,392,415,362,363,354,350,368,324,344,368,377,363,383,404,383,346,393,387,352,390,367,347,327,325,335,285,272,271,262,274,267,244,231,221,219,217,213,215,178,196,143,155,155,140,119,101,110,104,87,74,68,59,63,59,54,54,46,57,46,46,28,39,23,16,24,18,12,13,12,3,12,3,9,7,1,4,3,1,5,2,2,,1,1,,1,,,1,,,,,,1,,1,,,,,,,
BA,9629,5739,5408,5763,6259,6524,7085,7573,7934,8454,8864,9242,9563,9580,9673,9997,10010,9846,9673,9690,10036,9962,9923,10144,10177,9998,10284,10122,9942,9626,9326,9189,8643,8386,7915,7498,7506,7074,6809,6545,6227,6183,6043,5741,5602,5422,5095,4727,4690,4622,4390,4167,3962,3793,3533,3429,3123,2897,2764,2639,2498,2269,2154,1902,1755,1693,1570,1497,1422,1295,1258,1058,992,897,804,689,684,623,551,494,408,378,340,278,238,212,156,154,123,95,83,74,47,41,41,20,19,22,7,16,7,9,5,1,5,5,1,1,2,4,2,1,,,,,,
CE,10802,5589,5074,5331,5795,6005,6306,6674,6714,6952,7506,7844,8325,8514,8918,8732,9064,8701,8802,8824,8705,8648,8612,8548,8425,8272,8016,7685,7559,7219,7073,6637,6441,6168,5935,5853,5539,5405,5263,4950,5030,4659,4515,4366,4353,4227,4055,3882,3779,3526,3450,3128,3067,2782,2617,2567,2382,2296,2306,2010,1952,1808,1674,1546,1437,1312,1272,1139,1082,992,967,957,855,795,688,624,563,528,458,411,334,337,268,274,235,214,167,132,109,98,72,51,59,50,41,21,20,9,11,95,10,8,5,3,4,1,,4,4,4,2,,2,1,1,,,
DF,1294,716,698,703,798,773,809,948,1030,1031,1136,1343,1427,1337,1446,1488,1550,1598,1726,1797,1810,1759,1774,1790,1845,1918,1906,1835,1870,1836,1843,1901,1769,1807,1654,1705,1604,1540,1500,1443,1393,1422,1270,1331,1229,1170,1068,1011,1005,985,927,833,789,799,668,676,622,596,530,534,551,434,461,386,354,335,335,260,235,252,207,181,194,182,140,126,138,116,126,84,60,58,56,53,58,32,29,15,17,22,12,14,3,4,3,2,2,6,,1,5,,,,,,,,,,,,,,,,1,
ES,4324,2070,1828,1996,2284,2515,2693,2945,3301,3825,4308,4699,5186,5941,6511,6712,6608,6769,6886,7232,7307,7282,7268,7067,7137,7051,6932,6901,6827,6524,6583,6312,6223,5770,5575,5381,5114,4898,4920,4797,4660,4560,4720,4449,4370,4417,4099,4186,3941,4025,3792,3642,3487,3445,3185,3091,2925,2745,2502,2240,2062,2017,1731,1587,1345,1351,1254,1088,1073,1014,962,871,807,674,663,626,533,515,472,402,340,284,264,218,182,134,122,100,91,65,52,35,28,27,28,14,16,9,5,3,3,4,6,5,,2,,,3,1,,1,1,,,,,
GO,6486,3280,2994,3163,3688,3839,4197,4391,4870,5498,6293,6851,7924,8696,9537,10316,11044,11754,12320,12934,12878,12704,12686,12760,12661,12556,12261,12012,12242,11770,11921,11572,11204,10981,10496,10442,9939,9699,9428,9159,8802,8609,8325,8219,7940,7804,7599,7223,7018,6813,6725,6187,5871,5701,5412,5176,4806,4522,4223,3892,3563,3465,3261,2930,2747,2486,2469,2171,2100,1917,1762,1619,1567,1423,1282,1082,955,945,750,706,587,512,430,354,295,256,213,156,135,91,94,70,71,47,35,23,21,12,14,17,13,8,2,3,4,4,3,1,,,1,,,,,,,
