ucode,2008_m01,2008_m02,2008_m03,2008_m04,2008_m05,2008_m06,2008_m07,2008_m08,2008_m09,2008_m10,2008_m11,2008_m12,2009_m01,2009_m02,2009_m03,2009_m04,2009_m05,2009_m06,2009_m07,2009_m08,2009_m09,2009_m10,2009_m11,2009_m12,2010_m01,2010_m02,2010_m03,2010_m04,2010_m05,2010_m06,2010_m07,2010_m08,2010_m09,2010_m10,2010_m11,2010_m12,2011_m01,2011_m02,2011_m03,2011_m04,2011_m05,2011_m06,2011_m07,2011_m08,2011_m09,2011_m10,2011_m11,2011_m12,2012_m01,2012_m02,2012_m03,2012_m04,2012_m05,2012_m06,2012_m07,2012_m08,2012_m09,2012_m10,2012_m11,2012_m12,2013_m01,2013_m02,2013_m03,2013_m04,2013_m05,2013_m06,2013_m07,2013_m08,2013_m09,2013_m10,2013_m11,2013_m12,2014_m01,2014_m02,2014_m03,2014_m04,2014_m05,2014_m06,2014_m07,2014_m08
110001,20,6,2,5,,,,,,,,,2,4,7,19,12,11,14,16,32,48,119,98,8,18,,1,2,,,1,,1,24,18,46,20,3,4,,,,1,,,,,4,2,2,2,2,,9,17,8,6,9,4,153,75,45,25,10,,,7,,2,21,5,10,11,23,17,12,15,10,1
110002,28,53,70,163,40,29,4,5,4,2,3,22,70,263,594,156,32,13,16,20,18,17,60,107,172,163,136,50,42,20,16,25,12,7,17,27,38,21,27,16,9,2,,1,3,10,13,2,4,8,7,10,6,6,3,5,1,5,4,3,10,18,16,25,13,6,5,4,1,1,44,84,9,60,27,21,9,7,5,1
110003,14,4,11,8,,,,,,,1,,2,4,3,1,3,1,,,,,,13,12,36,22,4,4,1,,,,,,,1,3,6,9,,,,,,,3,,3,9,6,8,14,1,,8,4,1,3,6,7,13,12,10,3,4,,1,,,,1,,2,5,,,1,,
110004,506,333,282,159,20,8,4,8,1,4,11,11,12,32,65,79,174,186,158,142,103,159,310,633,486,233,95,20,5,4,11,3,4,5,17,27,29,26,37,9,8,6,3,3,5,10,8,10,17,23,11,6,10,14,4,5,5,3,5,15,63,153,166,137,72,43,28,15,19,12,25,16,3,13,27,51,11,20,8,1
110005,8,32,81,100,41,7,11,,3,2,34,4,17,78,122,73,31,9,7,5,1,2,9,17,38,42,25,10,12,6,2,4,1,2,6,10,40,54,25,33,3,4,4,2,6,5,4,15,24,23,41,24,8,14,4,7,2,1,8,16,40,338,415,87,12,1,1,,,3,1,1,3,9,6,3,7,4,,
110006,7,8,3,5,2,1,,,,2,4,4,5,7,64,39,22,10,7,4,1,3,8,100,39,43,38,47,30,24,17,13,17,22,100,223,109,58,72,23,7,,,1,3,5,5,,33,22,75,51,14,11,8,4,1,,3,7,40,70,45,23,15,15,16,5,5,6,8,18,12,20,18,9,8,1,1,2
110007,,2,,,,,,,,,,,,,,,,,,,,,,,4,2,23,2,,1,,,,,,,4,10,11,2,,,,,,,,,2,13,16,14,,3,1,,,,,3,7,11,20,14,1,,,,,,,7,6,3,,,,1,3,
110008,11,,1,3,,,,,,,,,,1,8,14,4,3,,,,,,1,21,174,145,1,9,,,,,,,2,20,59,49,14,11,,,,3,,1,3,5,17,29,18,2,1,,,,,,,11,33,51,5,2,2,,2,,2,58,86,71,68,27,18,,,,
110009,26,32,89,75,5,1,2,,,,2,,6,15,37,23,57,29,16,4,5,14,33,367,268,178,44,13,3,1,1,2,1,2,26,4,10,18,21,15,6,,,,,,1,3,1,,4,1,3,1,2,5,11,6,11,18,31,267,279,58,18,10,4,11,36,27,97,46,2,7,3,3,8,2,2,
110010,11,37,198,434,148,17,8,2,6,1,12,95,152,179,195,127,39,14,12,1,1,18,189,311,242,308,158,68,34,32,13,21,1,25,57,67,86,108,121,89,67,19,,5,2,5,8,9,8,18,41,14,26,26,17,18,25,34,89,101,121,70,28,7,2,1,2,,,1,4,,15,10,11,1,13,5,,
