uf,2008_m01,2008_m02,2008_m03,2008_m04,2008_m05,2008_m06,2008_m07,2008_m08,2008_m09,2008_m10,2008_m11,2008_m12,2009_m01,2009_m02,2009_m03,2009_m04,2009_m05,2009_m06,2009_m07,2009_m08,2009_m09,2009_m10,2009_m11,2009_m12,2010_m01,2010_m02,2010_m03,2010_m04,2010_m05,2010_m06,2010_m07,2010_m08,2010_m09,2010_m10,2010_m11,2010_m12,2011_m01,2011_m02,2011_m03,2011_m04,2011_m05,2011_m06,2011_m07,2011_m08,2011_m09,2011_m10,2011_m11,2011_m12,2012_m01,2012_m02,2012_m03,2012_m04,2012_m05,2012_m06,2012_m07,2012_m08,2012_m09,2012_m10,2012_m11,2012_m12,2013_m01,2013_m02,2013_m03,2013_m04,2013_m05,2013_m06,2013_m07,2013_m08,2013_m09,2013_m10,2013_m11,2013_m12,2014_m01,2014_m02,2014_m03,2014_m04,2014_m05,2014_m06,2014_m07,2014_m08
AC,267,415,539,837,323,177,106,68,144,177,451,1020,3067,6473,6095,1822,1114,539,275,183,152,253,767,1921,3509,8710,7905,3925,2154,1582,1376,723,905,1202,3287,6437,9253,7597,5640,3712,1186,391,234,164,155,170,325,572,1019,1320,1213,535,368,266,226,149,201,437,928,1746,2221,1981,1543,931,443,367,253,194,196,208,439,432,480,657,1128,991,1070,901,1038,718
AL,553,544,1356,7310,5059,1773,930,545,474,354,290,210,229,307,886,674,763,599,588,604,428,363,276,271,477,1558,7751,10144,10788,7780,6062,3763,2399,1578,1349,685,643,1209,1873,1641,1384,1000,629,632,587,408,418,524,1156,1581,3650,6001,6475,3973,3619,2818,1611,1013,869,367,401,533,884,1502,3022,2334,1932,1219,1075,966,1025,805,731,815,1089,1322,2165,2337,1996,829
AM,1311,1982,2643,3039,833,233,200,166,92,165,330,420,436,417,415,175,175,142,157,159,105,151,240,260,441,480,586,440,540,818,981,859,564,677,1061,2060,9164,22208,22078,6359,2544,1448,757,613,442,389,673,437,1276,1919,810,472,424,431,507,385,343,403,530,942,3938,5229,4580,3605,1863,1197,808,616,441,476,483,673,1578,1509,1652,1752,1021,603,431,205
AP,212,183,199,398,225,155,86,64,80,114,428,114,329,549,661,458,269,205,130,107,89,79,49,24,109,344,448,273,480,390,365,632,470,411,274,223,632,1063,867,588,332,178,70,112,91,105,89,7,74,79,129,112,109,108,125,343,399,400,310,154,328,251,345,601,304,96,59,86,71,73,60,17,29,45,67,287,578,228,71,11
BA,1408,3239,7475,18227,8887,3368,1534,903,546,870,1501,1801,6402,17522,41102,30374,13098,5142,2449,1550,975,803,1176,1742,2579,4165,9245,9833,11948,7650,4764,2946,1819,1383,2062,2859,3469,5588,9499,11085,9051,5041,3045,2219,1402,1343,1582,1341,4739,6843,14240,14838,13640,6455,4281,2621,1530,1243,1284,1849,6669,14557,23094,19413,9050,4189,2528,1562,1112,989,949,843,1230,1758,2420,4556,3999,2402,1594,615
CE,3398,7275,10363,27837,20600,8978,2380,1082,603,666,540,579,960,3210,6862,2996,1685,1238,798,472,344,371,621,790,1163,2265,3300,2551,3240,3063,2643,2467,2482,2921,3440,5075,7005,13101,20211,22941,14039,5069,2006,1404,932,913,856,854,2669,3561,6649,12521,29600,9644,2991,1541,824,788,800,611,1707,3213,5152,9882,8902,7359,7305,6219,2722,1490,1157,986,1982,3103,3012,4600,6321,5842,5097,1555
DF,283,269,431,1235,530,206,104,99,82,87,64,103,132,216,277,256,248,159,152,98,39,32,79,178,875,2548,5536,3706,4496,1305,512,318,273,310,197,228,389,773,1177,1182,1076,470,251,307,325,329,290,275,293,366,524,474,478,332,252,206,176,225,159,198,770,1372,3499,5818,5988,3402,2205,1221,733,541,500,531,1194,2128,2525,4339,5034,2906,1895,400
ES,885,1379,6260,14789,8013,3357,993,517,322,396,792,1983,2870,6679,11295,9672,10183,5246,2007,1036,450,256,444,668,1179,1678,4764,6422,8034,4984,3152,2847,1908,1443,1979,3413,3322,6038,8957,9478,10699,5451,2481,1653,872,1048,1719,1869,2503,2176,2316,2256,2283,1925,1602,1279,1173,1560,1524,2844,7201,10943,18937,17991,12149,5487,3308,1900,1411,1273,1129,1270,3398,3153,2961,3332,3281,2514,1811,646
GO,2949,4279,8641,17300,6458,2163,723,417,378,682,975,1497,2412,4325,6950,6617,4699,2500,1566,1945,1597,2199,4959,10302,22429,25695,21918,13553,9535,3798,1621,1589,2122,2799,3096,4480,4867,6155,6301,6871,5323,2430,1272,1137,1230,2001,2077,2143,3234,3684,3794,3431,4007,2840,1848,1507,1307,1833,2238,3417,20948,30811,36496,30759,17094,7532,3038,2098,1592,2193,3001,4012,10227,15667,16755,21742,19421,10300,4188,1475
MA,663,1125,1903,2635,756,330,118,91,103,71,68,65,201,364,999,655,752,411,142,72,78,38,50,28,128,241,469,362,522,589,646,1354,1052,589,402,338,1195,2267,2053,1517,1518,1485,1116,1325,527,209,286,212,594,880,1467,982,876,619,344,277,183,121,82,96,307,597,648,820,719,406,245,227,217,99,77,83,130,320,463,541,512,279,266,117
