uf,2008_w01,2008_w02,2008_w03,2008_w04,2008_w05,2008_w06,2008_w07,2008_w08,2008_w09,2008_w10,2008_w11,2008_w12,2008_w13,2008_w14,2008_w15,2008_w16,2008_w17,2008_w18,2008_w19,2008_w20,2008_w21,2008_w22,2008_w23,2008_w24,2008_w25,2008_w26,2008_w27,2008_w28,2008_w29,2008_w30,2008_w31,2008_w32,2008_w33,2008_w34,2008_w35,2008_w36,2008_w37,2008_w38,2008_w39,2008_w40,2008_w41,2008_w42,2008_w43,2008_w44,2008_w45,2008_w46,2008_w47,2008_w48,2008_w49,2008_w50,2008_w51,2008_w52,2009_w01,2009_w02,2009_w03,2009_w04,2009_w05,2009_w06,2009_w07,2009_w08,2009_w09,2009_w10,2009_w11,2009_w12,2009_w13,2009_w14,2009_w15,2009_w16,2009_w17,2009_w18,2009_w19,2009_w20,2009_w21,2009_w22,2009_w23,2009_w24,2009_w25,2009_w26,2009_w27,2009_w28,2009_w29,2009_w30,2009_w31,2009_w32,2009_w33,2009_w34,2009_w35,2009_w36,2009_w37,2009_w38,2009_w39,2009_w40,2009_w41,2009_w42,2009_w43,2009_w44,2009_w45,2009_w46,2009_w47,2009_w48,2009_w49,2009_w50,2009_w51,2009_w52,2009_w53,2010_w01,2010_w02,2010_w03,2010_w04,2010_w05,2010_w06,2010_w07,2010_w08,2010_w09,2010_w10,2010_w11,2010_w12,2010_w13,2010_w14,2010_w15,2010_w16,2010_w17,2010_w18,2010_w19,2010_w20,2010_w21,2010_w22,2010_w23,2010_w24,2010_w25,2010_w26,2010_w27,2010_w28,2010_w29,2010_w30,2010_w31,2010_w32,2010_w33,2010_w34,2010_w35,2010_w36,2010_w37,2010_w38,2010_w39,2010_w40,2010_w41,2010_w42,2010_w43,2010_w44,2010_w45,2010_w46,2010_w47,2010_w48,2010_w49,2010_w50,2010_w51,2010_w52,2011_w01,2011_w02,2011_w03,2011_w04,2011_w05,2011_w06,2011_w07,2011_w08,2011_w09,2011_w10,2011_w11,2011_w12,2011_w13,2011_w14,2011_w15,2011_w16,2011_w17,2011_w18,2011_w19,2011_w20,2011_w21,2011_w22,2011_w23,2011_w24,2011_w25,2011_w26,2011_w27,2011_w28,2011_w29,2011_w30,2011_w31,2011_w32,2011_w33,2011_w34,2011_w35,2011_w36,2011_w37,2011_w38,2011_w39,2011_w40,2011_w41,2011_w42,2011_w43,2011_w44,2011_w45,2011_w46,2011_w47,2011_w48,2011_w49,2011_w50,2011_w51,2011_w52,2012_w01,2012_w02,2012_w03,2012_w04,2012_w05,2012_w06,2012_w07,2012_w08,2012_w09,2012_w10,2012_w11,2012_w12,2012_w13,2012_w14,2012_w15,2012_w16,2012_w17,2012_w18,2012_w19,2012_w20,2012_w21,2012_w22,2012_w23,2012_w24,2012_w25,2012_w26,2012_w27,2012_w28,2012_w29,2012_w30,2012_w31,2012_w32,2012_w33,2012_w34,2012_w35,2012_w36,2012_w37,2012_w38,2012_w39,2012_w40,2012_w41,2012_w42,2012_w43,2012_w44,2012_w45,2012_w46,2012_w47,2012_w48,2012_w49,2012_w50,2012_w51,2012_w52,2013_w01,2013_w02,2013_w03,2013_w04,2013_w05,2013_w06,2013_w07,2013_w08,2013_w09,2013_w10,2013_w11,2013_w12,2013_w13,2013_w14,2013_w15,2013_w16,2013_w17,2013_w18,2013_w19,2013_w20,2013_w21,2013_w22,2013_w23,2013_w24,2013_w25,2013_w26,2013_w27,2013_w28,2013_w29,2013_w30,2013_w31,2013_w32,2013_w33,2013_w34,2013_w35,2013_w36,2013_w37,2013_w38,2013_w39,2013_w40,2013_w41,2013_w42,2013_w43,2013_w44,2013_w45,2013_w46,2013_w47,2013_w48,2013_w49,2013_w50,2013_w51,2013_w52,2014_w01,2014_w02,2014_w03,2014_w04,2014_w05,2014_w06,2014_w07,2014_w08,2014_w09,2014_w10,2014_w11,2014_w12,2014_w13,2014_w14,2014_w15,2014_w16,2014_w17,2014_w18,2014_w19,2014_w20,2014_w21,2014_w22,2014_w23,2014_w24,2014_w25,2014_w26,2014_w27,2014_w28,2014_w29,2014_w30,2014_w31,2014_w32,2014_w33,2014_w34,2014_w35
AC,18,66,65,58,91,79,104,115,114,104,125,96,153,204,256,200,142,111,94,86,60,46,54,40,41,32,28,25,29,26,3,7,9,29,22,22,36,38,28,33,20,44,63,43,58,76,125,185,213,199,290,196,126,245,826,962,1081,1079,1599,2103,1857,1858,1631,1198,928,693,406,438,379,260,248,283,290,201,134,122,151,102,90,84,56,40,46,37,25,54,49,40,31,39,38,25,50,42,97,55,108,152,179,254,272,473,515,468,266,600,890,926,1084,2078,2178,2130,2324,2012,1969,1822,1457,1189,1039,933,817,717,690,513,397,367,371,423,357,345,306,350,282,347,280,206,173,142,126,140,186,227,198,232,271,213,334,340,468,755,696,980,1125,1215,1289,1530,1713,1838,2291,2499,2240,2092,2162,1966,1466,1304,1181,1295,1331,1288,1183,957,583,515,400,302,240,167,123,104,86,83,57,48,48,77,39,41,54,35,25,31,39,28,36,40,43,28,34,43,61,50,75,89,110,128,134,138,124,198,254,261,224,235,265,339,377,380,320,291,218,202,151,131,111,115,82,83,84,78,85,65,70,48,63,59,61,43,46,32,28,40,35,28,36,37,60,62,61,70,126,124,139,196,193,242,270,334,501,433,379,248,448,536,591,653,517,429,488,463,358,345,367,311,283,225,190,183,121,114,111,83,69,98,89,96,69,49,73,64,33,60,45,48,46,30,42,34,62,49,52,29,43,56,57,111,100,104,111,98,104,132,77,52,83,123,108,162,120,149,169,213,162,244,347,275,288,251,182,214,164,279,219,256,261,198,221,186,228,200,175,221,259,260,309,250,120,
AL,65,116,135,123,132,91,110,144,194,208,198,184,582,1217,1435,1797,1973,1699,1456,1404,805,798,618,506,317,233,212,217,177,229,217,130,115,116,108,114,131,95,98,81,75,89,84,67,90,55,77,62,51,50,50,40,19,47,46,66,71,61,84,82,83,152,171,271,210,175,137,155,166,149,165,172,192,204,171,116,157,126,105,129,122,134,155,122,135,137,160,128,93,89,75,120,68,74,75,95,86,69,57,51,55,67,59,58,39,61,99,145,171,204,314,373,666,945,1404,1735,2081,2152,2741,2404,2064,2590,2606,3035,2221,2210,2022,2038,1921,1465,1649,1553,1375,1277,1084,1009,820,827,743,701,584,542,509,471,378,344,355,367,303,396,315,281,126,160,198,148,106,116,150,161,185,215,308,312,304,321,264,485,463,558,509,376,280,369,327,346,355,258,253,264,264,187,153,147,147,124,172,119,142,165,119,151,132,130,143,122,106,70,87,113,91,99,70,128,110,130,127,105,106,149,276,290,292,377,366,417,295,524,619,730,1037,1070,924,1810,1430,1569,1484,1587,1490,1307,1133,949,987,969,806,900,795,815,831,776,608,651,509,544,433,422,360,331,249,204,231,224,170,236,210,228,147,123,97,59,65,42,75,87,115,114,111,124,138,191,191,190,240,198,257,349,444,344,402,573,656,898,680,657,622,551,411,486,391,419,406,373,323,290,227,238,262,273,200,286,277,184,177,235,185,220,205,231,322,185,242,252,100,75,125,205,219,153,185,223,211,192,158,251,240,351,275,274,273,348,332,329,565,595,584,640,611,529,453,456,436,437,432,393,359,270,97,
AM,81,263,334,373,385,382,462,545,533,583,514,448,866,960,795,782,526,271,340,176,105,94,75,51,46,40,48,26,58,44,55,38,45,27,36,21,15,18,31,19,31,40,50,36,43,63,142,78,94,81,102,108,35,35,128,168,109,112,110,112,82,74,92,125,78,79,39,39,38,27,53,51,35,30,26,24,38,35,33,38,30,40,42,35,48,36,30,22,15,18,35,32,47,29,31,32,22,48,95,66,41,36,79,53,58,51,170,137,83,138,125,76,141,151,159,129,107,69,96,106,98,130,92,137,152,115,103,242,251,132,145,170,299,306,184,175,203,246,163,139,116,127,150,137,215,130,166,124,95,193,195,444,374,359,532,459,494,729,1825,2566,3482,3578,4646,5846,7117,7325,5237,5369,3865,2565,2374,1536,970,830,647,657,641,406,357,375,374,281,243,201,182,158,149,160,162,141,88,133,88,113,111,86,65,70,113,87,132,151,182,138,173,169,85,90,23,175,261,331,328,475,565,434,386,344,176,181,193,161,127,127,96,86,90,111,71,95,107,99,86,105,123,133,99,126,110,100,80,76,87,79,75,84,118,58,108,52,91,75,106,123,71,127,217,276,205,203,200,213,495,733,1325,1585,1399,1063,1391,1298,1239,1114,1119,792,1041,920,810,667,501,435,422,383,325,385,334,216,222,265,182,148,144,153,195,112,106,119,105,131,89,90,123,86,98,118,101,93,96,119,156,182,210,149,109,120,369,366,392,373,376,296,420,441,246,415,412,435,545,556,295,306,226,270,223,227,216,136,131,125,177,118,116,68,88,93,71,88,20,
AP,5,67,44,60,40,24,41,52,64,50,46,25,65,79,111,101,77,57,63,61,44,42,37,38,47,23,21,13,20,21,23,16,12,10,23,11,18,19,24,14,24,31,29,24,167,136,71,53,19,39,31,16,9,25,86,97,123,139,200,165,43,118,177,162,158,145,94,117,81,69,60,86,51,70,55,30,35,62,42,34,24,26,28,36,23,19,24,16,28,21,18,17,28,22,16,6,14,12,17,6,6,6,9,2,1,5,36,33,35,41,110,37,156,112,83,128,89,48,73,52,59,81,74,99,138,139,86,99,133,58,59,109,70,68,99,107,150,134,153,162,132,93,104,85,110,123,88,70,81,75,43,55,51,30,109,31,23,46,127,197,221,241,282,317,226,155,152,253,209,157,192,144,105,129,85,72,72,75,45,56,34,19,50,19,22,15,11,20,23,25,25,26,14,24,29,20,28,22,26,24,10,26,37,10,9,4,1,1,,3,13,21,33,18,27,17,8,42,38,29,20,14,23,36,24,27,17,29,20,20,32,8,30,34,28,30,29,24,27,33,57,88,55,130,67,70,156,101,92,74,96,88,64,99,91,58,48,61,49,33,10,16,83,67,78,97,58,50,66,71,75,78,94,92,131,138,163,142,60,107,78,54,27,36,21,23,15,17,12,13,7,16,27,12,19,20,14,15,13,26,17,25,10,13,11,15,12,17,14,6,4,3,4,1,5,4,10,9,10,11,13,11,6,17,12,20,66,70,53,57,49,128,213,103,123,88,53,36,45,7,21,19,11,17,8,,,
BA,93,204,327,443,465,331,927,1065,919,1076,1421,1171,2761,4077,4807,4577,3518,2838,3051,2271,1498,1441,1140,924,720,422,483,429,275,269,254,236,229,189,169,131,137,113,116,123,162,166,208,267,403,375,329,385,416,389,491,307,206,635,1419,1948,2494,3277,4694,5390,4357,7385,8555,10272,10639,9365,6920,7867,6079,4801,3988,3480,2786,2096,1837,1284,1103,631,634,612,510,565,459,442,388,311,322,219,221,245,232,188,198,152,197,169,170,284,322,308,385,347,472,364,261,303,683,782,806,1012,1069,845,1237,1677,1809,2152,2414,1603,2446,2695,1933,2630,2686,2623,2870,2967,2255,2326,1803,1024,1225,1348,1114,1069,786,786,694,662,539,495,446,406,412,390,381,210,353,337,293,399,456,677,673,751,664,644,370,481,727,984,1063,1129,1287,1514,1551,1470,1368,2153,2546,3008,3100,2900,1945,2506,2275,2300,1998,1622,1715,1506,1169,653,966,826,775,639,577,582,499,485,407,393,277,340,337,322,360,334,276,276,324,386,304,383,405,377,323,295,207,479,1098,1191,1362,1328,1491,1731,1458,2513,2971,3253,3489,3571,2667,3633,3929,3977,3012,3275,3148,2761,2437,1843,1703,1305,1101,949,1002,959,1006,772,718,567,451,469,351,406,357,373,277,246,315,236,223,245,261,327,433,522,458,415,365,406,1102,1581,1819,2356,2944,2419,4411,5528,5569,5796,5918,4442,5263,4891,4268,3706,2680,2604,2073,1814,1258,1271,1117,943,691,596,633,575,445,475,388,384,283,308,243,254,257,273,297,211,192,221,183,191,170,300,249,247,244,202,126,87,238,272,302,358,406,418,531,387,298,540,674,698,832,1071,870,1190,970,1034,779,943,989,866,649,405,320,406,440,335,280,312,264,214,65,
CE,203,532,787,1031,1187,1197,1873,1933,2064,2062,2147,1470,3679,5239,6725,7068,6416,5324,5431,4770,4452,4131,2778,2421,2021,1317,842,559,537,352,355,296,248,265,177,169,142,122,131,108,127,236,137,109,114,133,150,131,136,127,168,91,57,122,178,288,399,653,961,974,668,1357,1741,1600,1556,1226,781,681,470,463,419,394,396,373,319,319,281,229,209,201,140,184,171,114,137,109,80,75,61,112,58,67,68,81,93,117,113,144,130,185,173,185,209,153,115,130,266,392,374,499,577,432,757,716,899,667,637,493,628,602,530,740,624,700,862,834,598,841,850,592,586,574,582,585,689,539,577,536,533,559,586,574,546,628,672,728,720,628,504,795,826,923,1099,1318,1118,1009,935,957,1681,1756,2126,2551,2947,3318,3964,4009,2888,5068,5015,5583,6297,6099,4553,4739,3862,3565,3077,2428,1855,1463,1102,807,756,506,509,409,427,338,365,260,299,229,218,210,225,214,229,193,237,182,189,212,150,217,236,228,233,160,134,207,422,791,923,769,881,964,654,1110,1226,1590,1572,1865,1630,2349,3094,4506,4948,7226,8260,6584,4474,3035,2455,1819,1308,911,726,572,524,440,403,331,304,262,243,225,165,164,139,144,199,190,160,209,167,209,183,173,215,127,84,87,246,358,476,707,662,449,939,1241,1179,1380,1240,1091,1791,2371,2493,2359,2098,2119,2094,2113,1564,1771,1728,1834,1783,1634,1660,1832,1400,1466,1616,1418,1395,1144,773,703,619,477,393,406,317,275,246,250,240,292,338,290,293,213,161,93,224,445,612,691,748,823,812,694,485,736,726,811,924,1119,862,1189,1085,1425,1496,1540,1573,1586,1403,1191,1248,1260,1105,1214,1066,903,649,476,224,
DF,11,53,85,73,70,57,83,56,69,72,80,55,163,305,336,285,235,170,204,150,81,56,64,38,56,39,43,18,15,21,17,30,21,23,23,21,16,15,22,19,24,23,14,15,16,13,14,21,21,21,35,17,9,14,26,42,52,65,57,60,34,69,52,64,65,53,55,62,66,50,58,65,54,66,40,31,35,42,34,44,32,29,24,36,23,15,21,13,2,12,12,9,7,1,11,8,11,19,20,27,29,38,37,28,47,47,144,272,412,440,601,523,984,1238,1134,1182,1258,942,1120,914,756,811,1221,1105,967,921,474,405,293,221,118,149,116,127,84,79,76,68,69,40,36,56,94,83,108,58,83,48,48,54,35,59,25,54,53,45,52,29,81,112,130,150,198,179,232,212,146,321,249,366,293,326,235,267,250,239,293,199,184,127,119,51,89,56,58,49,75,71,73,47,65,73,52,81,90,82,75,70,87,75,68,68,51,83,62,87,68,51,47,28,64,82,81,79,107,92,57,129,110,113,139,103,100,119,131,120,98,97,116,97,90,61,99,92,63,68,46,64,45,46,50,43,47,50,24,52,50,48,55,35,51,58,28,35,31,44,47,57,50,41,48,36,128,153,144,199,264,198,308,388,463,591,807,691,900,1055,1367,1127,1107,1212,1297,1169,831,965,730,588,492,564,334,295,527,302,258,227,243,205,106,197,180,115,120,58,123,120,148,80,98,113,137,73,190,104,93,44,164,183,323,358,384,470,429,475,371,548,487,576,672,868,889,977,867,1124,1079,1256,1112,947,632,424,546,444,442,378,275,274,112,81,107,4
ES,43,145,245,277,222,155,331,379,493,578,816,1068,3079,3712,3677,3430,2936,2396,2673,2013,1297,1383,1099,891,751,506,314,259,202,184,137,134,157,113,92,71,89,71,68,55,66,102,105,97,157,160,199,269,376,592,509,281,225,271,596,810,1233,1441,1717,2172,1434,2182,2356,2735,2884,2529,2040,2502,2182,2022,2508,2510,2233,2314,1787,1234,1027,893,762,577,451,293,251,336,226,261,155,158,103,88,81,81,61,43,60,61,62,110,129,125,130,169,168,126,97,168,305,345,355,344,415,378,539,643,974,1157,1269,970,1553,1540,1511,1748,1792,1757,2000,1847,1352,1510,1098,1006,816,832,696,671,616,688,768,541,604,521,369,437,470,409,377,261,407,319,281,382,440,569,767,771,899,654,637,406,797,879,974,1131,1286,1656,1814,1737,1406,1783,2433,2589,2504,2487,1681,2322,2461,2878,2392,2076,1891,1615,1252,863,814,681,559,592,441,474,374,394,282,205,183,204,222,198,193,233,261,259,335,501,352,411,390,427,520,502,244,345,619,663,624,587,567,490,411,608,537,494,535,518,400,619,539,617,470,540,444,428,584,366,488,484,481,414,378,296,355,325,306,310,247,262,232,326,305,284,347,286,339,385,298,309,233,451,490,516,644,755,809,631,1480,1800,1851,1917,2193,1921,3329,4089,4413,5054,4452,3840,4593,4128,4249,3594,3407,3234,3159,2303,1557,1495,1416,1326,1079,889,749,648,687,579,526,421,355,359,335,316,325,362,256,281,308,325,234,253,198,317,285,274,400,295,261,234,701,900,897,751,758,875,785,715,504,803,744,682,642,851,736,845,696,817,739,734,756,740,604,474,498,479,412,398,411,326,264,229,73,
GO,225,529,700,861,850,589,1049,1285,1261,1648,1750,1442,2990,4483,4546,3908,3268,2526,2069,1542,1043,1079,678,550,486,351,256,218,129,114,99,97,96,86,103,100,68,90,73,91,158,164,161,171,171,219,272,291,355,300,391,241,213,262,551,698,957,916,1086,1274,1046,1373,1522,1693,1695,1525,1186,1747,1507,1412,1421,1395,986,718,607,570,655,496,432,365,391,278,320,423,471,457,456,489,284,331,379,391,466,417,638,548,870,1039,1113,1546,1949,2078,2245,2355,2044,2374,5177,7027,7791,7219,7298,4951,6217,5659,4920,4720,4339,3116,3780,3491,2758,2890,3156,2421,1895,1536,991,1202,883,731,450,443,371,341,316,309,332,381,374,410,373,457,514,723,745,554,689,631,483,754,724,852,891,1199,1192,880,603,556,1082,1371,1549,1510,1580,1563,1485,1321,1008,1328,1594,1792,1775,1772,1263,1693,1367,1309,1277,936,817,749,584,339,369,343,270,303,271,233,277,237,263,228,212,237,342,376,402,422,515,525,454,480,433,539,505,627,526,485,261,450,720,790,928,891,999,901,684,929,882,810,857,857,576,856,912,988,746,1057,844,764,833,544,752,783,583,515,483,370,325,361,405,308,301,298,270,356,324,317,415,341,391,397,422,480,350,630,703,654,730,1005,818,1498,3716,5332,5768,6974,7056,5588,8471,10081,9369,9132,8836,6363,7656,7493,7195,6419,4707,4468,4248,3519,2275,2290,1897,1672,1399,892,750,666,477,457,478,489,481,441,371,394,384,345,397,441,545,500,479,538,587,927,862,962,1065,1132,732,742,1724,2274,2586,3365,3736,3632,4065,4177,2578,3810,4242,4673,4944,5042,4432,5108,4721,5004,4423,4400,4050,3651,2512,1918,1684,1236,1071,841,875,556,608,500,207,1
MA,32,136,155,188,179,141,315,359,296,279,395,296,744,937,796,529,340,265,222,170,168,140,106,100,67,46,42,26,22,26,17,22,17,28,19,29,21,19,18,29,10,12,25,12,10,16,18,22,36,9,12,5,3,16,54,67,66,60,113,119,71,142,247,271,259,170,100,186,156,135,165,219,217,135,119,114,86,72,45,44,35,16,23,16,23,17,14,17,14,29,13,10,13,9,7,4,10,10,16,14,4,7,10,3,5,5,27,42,53,42,62,55,81,103,106,117,102,57,87,84,77,110,131,112,135,101,112,150,137,168,91,111,147,176,180,271,294,335,349,296,217,287,232,170,155,110,152,116,53,81,86,154,95,89,70,81,31,101,270,330,397,499,558,644,566,452,234,512,553,495,435,388,251,346,304,359,364,335,387,323,342,349,283,250,277,260,275,271,272,260,302,307,124,120,107,90,69,50,38,45,39,70,58,91,52,50,70,50,18,71,139,165,141,186,202,236,152,277,304,351,403,314,182,232,278,245,191,217,188,168,194,160,134,160,121,85,81,71,81,63,54,78,52,56,46,59,42,32,38,24,23,22,23,15,17,17,26,19,34,19,18,14,64,56,97,105,137,106,186,191,206,162,110,110,149,213,205,201,149,156,170,160,139,101,128,99,70,84,44,44,40,55,57,49,50,47,44,90,45,32,26,21,20,20,20,27,8,19,20,24,26,24,7,8,17,25,34,48,54,79,79,106,53,108,136,142,121,128,85,158,75,147,142,114,104,68,75,53,66,66,63,54,50,53,59,35,13,
