mcode,ucode
110001,110001
1100015,110001
110002,110002
1100023,110002
110003,110003
1100031,110003
110004,110004
1100049,110004
110005,110005
1100056,110005
110006,110006
1100064,110006
110007,110007
1100072,110007
110008,110008
1100080,110008
110009,110009
1100098,110009
110010,110010
1100106,110010
110011,110011
1100114,110011
110012,110012
1100122,110012
110013,110013
1100130,110013
110014,110014
1100148,110014
110015,110015
1100155,110015
110018,110018
1100189,110018
110020,110020
1100205,110020
110025,110025
1100254,110025
110026,110026
1100262,110026
110028,110028
1100288,110028
110029,110029
1100296,110029
110030,110030
1100304,110030
110032,110032
1100320,110032
110033,110033
1100338,110033
110034,110034
1100346,110034
110037,110037
1100379,110037
110040,110040
1100403,110040
110045,110045
1100452,110045
110050,110050
1100502,110050
110060,110060
1100601,110060
110070,110070
1100700,110070
110080,110080
1100809,110080
110090,110090
1100908,110090
110092,110092
1100924,110092
110094,110094
1100940,110094
110100,110100
1101005,110100
110110,110110
1101104,110110
110120,110120
1101203,110120
110130,110130
1101302,110130
110140,110140
1101401,110140
110143,110143
1101435,110143
110145,110145
1101450,110145
110146,110146
1101468,110146
110147,110147
1101476,110147
110148,110148
1101484,110148
110149,110149
1101492,110149
110150,110150
1101500,110150
110155,110155
1101559,110155
110160,110160
1101609,110160
110170,110170
1101708,110170
110175,110175
1101757,110175
110180,110180
1101807,110180
120001,120001
1200013,120001
120005,120005
1200054,120005
120010,120010
1200104,120010
120013,120013
1200138,120013
120017,120017
1200179,120017
120020,120020
1200203,120020
120025,120025
1200252,120025
120030,120030
1200302,120030
120032,120032
1200328,120032
120033,120033
1200336,120033
120034,120034
1200344,120034
120035,120035
1200351,120035
120038,120038
1200385,120038
120039,120039
1200393,120039
120040,120040
1200401,120040
120042,120042
1200427,120042
120043,120043
1200435,120043
120045,120045
1200450,120045
120050,120050
1200500,120050
120060,120060
1200609,120060
120070,120070
1200708,120070
120080,120080
1200807,120080
130002,130002
1300029,130002
130006,130006
1300060,130006
130008,130008
1300086,130008
130010,130010
1300102,130010
130014,130014
1300144,130014
130020,130020
1300201,130020
130030,130030
1300300,130030
130040,130040
1300409,130040
130050,130050
1300508,130050
130060,130060
1300607,130060
130063,130063
1300631,130063
130068,130068
1300680,130068
130070,130070
1300706,130070
130080,130080
1300805,130080
130083,130083
1300839,130083
130090,130090
1300904,130090
130100,130100
1301001,130100
130110,130110
1301100,130110
130115,130115
1301159,130115
130120,130120
1301209,130120
130130,130130
1301308,130130
130140,130140
1301407,130140
130150,130150
1301506,130150
130160,130160
1301605,130160
130165,130165
1301654,130165
130170,130170
1301704,130170
130180,130180
1301803,130180
130185,130185
1301852,130185
130190,130190
1301902,130190
130195,130195
1301951,130195
130200,130200
1302009,130200
130210,130210
1302108,130210
130220,130220
1302207,130220
130230,130230
1302306,130230
130240,130240
1302405,130240
130250,130250
1302504,130250
130255,130255
1302553,130255
130260,130260
1302603,130260
130270,130270
1302702,130270
130280,130280
1302801,130280
130290,130290
1302900,130290
130300,130300
1303007,130300
130310,130310
1303106,130310
130320,130320
1303205,130320
130330,130330
1303304,130330
130340,130340
1303403,130340
130350,130350
1303502,130350
130353,130353
1303536,130353
130356,130356
1303569,130356
130360,130360
1303601,130360
130370,130370
1303700,130370
130380,130380
1303809,130380
130390,130390
1303908,130390
130395,130395
1303957,130395
130400,130400
1304005,130400
130406,130406
1304062,130406
130410,130410
1304104,130410
130420,130420
1304203,130420
130423,130423
1304237,130423
130426,130426
1304260,130426
130430,130430
1304302,130430
130440,130440
1304401,130440
140002,140002
1400027,140002
140005,140005
1400050,140005
140010,140010
1400100,140010
140015,140015
1400159,140015
140017,140017
1400175,140017
140020,140020
1400209,140020
140023,140023
1400233,140023
140028,140028
1400282,140028
140030,140030
1400308,140030
140040,140040
1400407,140040
140045,140045
1400456,140045
140047,140047
1400472,140047
140050,140050
1400506,140050
140060,140060
1400605,140060
140070,140070
1400704,140070
150010,150010
1500107,150010
150013,150013
1500131,150013
150020,150020
1500206,150020
150030,150030
1500305,150030
150034,150034
1500347,150034
150040,150040
1500404,150040
150050,150050
