ucode,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2008,y2009,y2011,y2012,y2013,y2014,y2015
110001,25257,26919,27237,27563,29001,28629,29005,24577,24354,24228,24069,25728,25652,25578
110002,75098,76371,78039,79680,86901,85031,86924,84581,85541,91570,92747,101269,102860,104401
110003,7832,7501,7490,7478,7421,7436,7421,6777,6695,6221,6132,6495,6424,6355
110004,75862,73996,74381,74758,76417,75988,76422,78263,78675,78958,79330,85863,86556,87226
110005,18746,18012,17925,17794,17217,17366,17215,16784,16622,16939,16852,18041,18013,17986
110006,23759,21421,20881,20412,18349,18883,18342,18216,17822,18338,18093,19190,19001,18817
110007,9668,10290,10160,10022,9411,9569,9409,9761,9680,8654,8530,9036,8938,8842
110008,11712,10679,9919,10255,11731,11349,11735,13973,14452,14022,14355,15853,16258,16651
110009,24842,25985,26221,26468,27556,27274,27559,28617,28892,28962,29189,31699,32047,32385
110010,40871,38679,39194,39728,42075,41467,42082,40541,40762,41933,42202,45761,46203,46632
110011,46814,53150,54352,54701,56238,55840,56242,53955,53943,51883,51765,55597,55669,55738
110012,92728,107869,108694,109573,113441,112439,113453,110707,111010,117363,118092,128026,129242,130419
110013,32517,23873,24724,25645,29698,28649,29711,32214,33159,31779,32403,35633,36412,37167
110014,15103,17216,17334,17458,18003,17862,18005,17653,17698,19882,19891,21427,21511,21592
110015,40378,40836,40841,40822,40735,40757,40735,37142,36725,37701,37482,40099,40010,39924
110018,31659,31685,31656,31612,31416,31466,31415,33803,33984,33981,34135,36939,37230,37512
110020,314525,342264,347844,353961,380884,373917,380974,379186,382829,435732,442701,484992,494013,502748
110025,29322,26164,26065,25926,25314,25473,25313,22896,22519,22008,21709,23017,22783,22557
110026,3192,3054,3127,3215,3602,3501,3603,3260,3290,3345,3374,3666,3709,3750
110028,43628,47693,48101,48434,49902,49522,49907,50249,50499,50899,51142,55357,55807,56242
110029,10356,11512,11450,11380,11068,11149,11067,9566,9348,8677,8476,8887,8706,8532
110030,47669,55513,57074,58687,65785,63947,65807,68405,69866,77937,79616,87727,89797,91801
110032,26565,25065,25959,26927,31185,30082,31198,23283,23201,21878,21927,23668,23803,23933
110033,18057,15692,16362,17098,20333,19496,20343,21650,22337,23142,23719,26227,26925,27600
110034,18685,19770,19750,19711,19543,19586,19542,17009,17127,16624,16404,17399,17228,17063
110037,9770,13153,13490,13852,15449,15035,15454,11962,11875,12824,12833,13827,13884,13940
110040,12348,13693,14084,14532,16504,15993,16510,17169,17569,17443,17742,19459,19841,20210
110045,12891,28132,30521,32774,42686,40120,42717,33879,34693,32898,33397,36555,37207,37838
110050,10187,12367,12458,12543,12915,12819,12916,9966,9720,10084,9933,10515,10393,10276
110060,4980,5355,5398,5411,5464,5450,5464,5707,5736,5764,5791,6268,6318,6367
110070,8846,12633,13500,14446,18606,17529,18619,12790,12915,12757,12847,13939,14081,14220
110080,14076,13816,14314,14874,17338,16700,17346,17147,17547,20291,20787,22973,23573,24155
110090,4128,4189,4178,4162,4092,4110,4092,3737,3685,3526,3479,3689,3653,3617
110092,4292,5701,5842,5991,6647,6477,6649,7633,7843,8514,8721,9636,9887,10129
110094,4470,6976,7305,7662,9233,8827,9238,14122,14889,16569,17262,19410,20204,20974
110100,12740,14497,15106,15785,18777,18002,18786,11793,11593,10272,10040,10534,10327,10127
110110,5906,7127,7356,7604,8695,8413,8699,8110,8235,8700,8830,9661,9831,9995
110120,9839,11321,11308,11292,11223,11241,11223,10653,10572,10276,10203,10899,10860,10823
110130,14550,13306,13438,13570,14150,14000,14152,12446,12363,11780,11686,12469,12414,12360
110140,12873,13217,13838,14400,16874,16233,16881,12710,12708,14203,14313,15541,15710,15873
110143,6371,8438,8601,8772,9524,9329,9526,7978,7944,7436,7382,7883,7853,7824
110145,4115,3545,3503,3448,3205,3268,3204,4696,4802,4901,4990,5477,5589,5697
110146,2319,2544,2557,2571,2633,2617,2633,2427,2415,2299,2283,2440,2432,2424
110147,4128,4325,4334,4345,4393,4381,4393,3819,3765,3464,3406,3597,3548,3501
110148,6657,7088,7116,7143,7266,7234,7266,6477,6412,5938,5862,6219,6160,6103
110149,7212,11963,13636,14370,17600,16764,17610,16091,16491,16340,16636,18265,18640,19002
110150,10949,12409,12987,13584,16217,15535,16225,12088,12117,11624,11619,12505,12543,12581
110155,5153,5673,5697,5733,5894,5852,5894,5070,5010,4832,4778,5080,5041,5003
110160,10039,11651,12047,12468,14320,13840,14326,10254,10325,10611,10575,11343,11345,11347
110170,16330,15354,15700,16081,17756,17322,17761,13785,13661,12828,12687,13491,13391,13293
110175,8242,8246,8655,9081,10957,10471,10962,8981,9100,9510,9633,10518,10682,10843
110180,9358,9958,10028,10105,10441,10354,10442,9008,8913,8083,7961,8425,8327,8231
120001,7115,8237,8454,8695,10668,11451,11786,11987,12241,12778,13011,13353,13613,13869
120005,2919,3564,3611,3667,4852,5063,5153,5559,5662,6192,6308,6480,6610,6738
120010,13922,17384,17649,17944,16940,17721,18056,19829,20238,21837,22261,22899,23378,23849
120013,5135,6154,6382,6641,7654,8423,8751,6745,6772,8629,8782,9003,9173,9339
120017,3635,5561,5814,6096,6287,7067,7403,8897,9287,9087,9368,9836,10170,10498
120020,64573,69772,71571,73488,78785,84335,86725,76392,77004,79173,79819,80377,80953,81519
120025,10704,11460,11785,12137,12820,13782,14193,13960,14224,15394,15679,16099,16417,16731
120030,26011,27834,28606,29480,35713,38241,39365,32210,32261,32487,32560,32411,32398,32385
120032,3440,4490,4505,4529,4564,4633,4662,6333,6520,6740,6898,7147,7330,7509
120033,9457,11471,11779,12097,11883,12747,13116,14387,14774,15553,15890,16410,16795,17173
120034,6226,6581,6737,6905,7152,7636,7843,7405,7505,8104,8224,8386,8514,8641
120035,8651,8321,8341,8362,8394,8455,8482,13728,14275,14682,15123,15857,16380,16895
120038,11852,15502,15759,16031,15931,16691,17014,17921,18235,17401,17587,17795,17979,18159
120039,4559,5368,5283,5189,5220,4962,4851,8562,8855,9448,9711,10143,10453,10759
120040,269180,261430,267740,274555,286082,305731,314127,301398,305954,342298,348354,357194,363928,370550
120042,10145,8276,8398,8540,9347,9796,9989,13020,13460,14832,15260,15968,16475,16974
120043,2045,2440,2576,2729,2954,3395,3583,4165,4358,4879,5061,5374,5593,5809
120045,13688,20330,20726,21174,19343,20505,21000,19506,19697,20386,20588,20799,20992,21182
120050,22364,30052,30519,31029,31530,32989,33614,35544,36166,38708,39366,40311,41036,41750
