uf,y2008,y2009,y2010,y2011,y2012,y2013,y2014
AC,680073,691132,691132,746375,758786,776463,790101
AL,3127557,3156108,3156108,3143338,3165472,3300935,3321730
AM,3341096,3393369,3393369,3538359,3590985,3807921,3873743
AP,613164,626609,626609,684301,698602,734996,750912
BA,14502575,14637364,14637364,14097333,14175341,15044137,15126371
CE,8450527,8547809,8547809,8530058,8606005,8778576,8842791
DF,2557158,2606885,2606885,2609997,2648532,2789761,2852372
ES,3453648,3487199,3487199,3547013,3578067,3839366,3885049
GO,5844996,5926300,5926300,6080588,6154996,6434048,6523222
MA,6305539,6367138,6367138,6645665,6714314,6794301,6850884
MG,19850072,20033665,20033665,19728252,19855332,20593356,20734097
MS,2336058,2360498,2360498,2477504,2505088,2587269,2619657
MT,2957732,3001692,3001692,3075862,3115336,3182113,3224357
PA,7321493,7432113,7432113,7688531,7792556,7999729,8063393
PB,3742606,3769977,3769977,3791200,3815171,3914421,3943885
PE,8734194,8810256,8810256,8864803,8931028,9208550,9277727
PI,3119697,3145325,3145325,3140213,3160748,3184166,3194718
PR,10590169,10686247,10686247,10512151,10577755,10997465,11081692
RJ,15872362,16010429,16010429,16112637,16231365,16369179,16461173
RN,3106430,3137541,3137541,3198572,3228198,3373959,3408510
RO,1493566,1503928,1503928,1576423,1590011,1728214,1748531
RR,412783,421499,421499,460157,469524,488072,496936
RS,10855214,10914128,10914128,10732770,10770603,11164043,11207274
SC,6052587,6118743,6118743,6316906,6383286,6634254,6727148
SE,1999374,2019679,2019679,2089783,2110867,2195662,2219574
SP,41011635,41384039,41384039,41586892,41901219,43663669,44035304
TO,1280509,1292051,1292051,1400813,1417694,1478164,1496880
