ucode,urban,rural
110001,13970,10422
110002,76525,13828
110003,2693,3620
110004,61921,16653
110005,14419,2610
110006,13657,4934
110007,2590,6193
110008,7497,6181
110009,20610,8119
110010,35207,6449
110011,35118,16887
110012,104858,11752
110013,16173,14962
110014,8380,11494
110015,28180,9748
110018,29417,4405
110020,390733,37794
110025,13303,9016
110026,1064,2252
110028,41429,9219
110029,4525,4361
110030,72218,3984
110032,8470,13358
110033,13067,9479
110034,8824,8029
110037,3657,9159
110040,8202,8933
110045,18122,14261
110050,1733,8507
110060,2069,3667
110070,3371,9294
110080,12887,6892
110090,836,2739
110092,3663,4638
110094,11043,4811
110100,2361,8151
110110,5222,3344
110120,3074,7278
110130,6444,5434
110140,7390,6701
110143,1541,5952
110145,1774,3036
110146,1292,1023
110147,1284,2240
110148,1444,4574
110149,8227,7808
110150,4397,7232
110155,1716,3172
110160,1978,8671
110170,5137,7837
110175,3192,6192
110180,2276,5934
120001,5916,6622
120005,3700,2372
120010,14257,7141
120013,3693,4778
120017,3929,4869
120020,55326,23181
120025,10618,4482
120030,16636,15776
120032,2272,4305
120033,8750,6456
120034,5278,2703
120035,3969,10258
120038,10382,6827
120039,3323,5853
120040,308545,27493
120042,4315,10074
120043,1892,2799
120045,12703,7476
120050,25112,12917
120060,19351,16239
120070,10330,5761
120080,1982,12898
130002,7887,6201
130006,4960,4507
130008,4174,6040
130010,10000,6317
130014,10595,7412
130020,6893,8260
130030,13893,18242
130040,11157,14561
130050,12418,14937
130060,20138,13273
130063,7778,7708
130068,7550,7429
130070,19348,11284
130080,14434,20527
130083,5140,5835
130090,6682,6056
130100,19744,6030
130110,9437,23297
130115,1000,22930
130120,49651,26314
130130,15806,7400
130140,22166,8499
130150,10552,5786
130160,15115,7702
130165,7427,6547
130170,30501,13726
130180,9499,12755
130185,28979,11802
130190,58157,28682
130195,4472,3566
130200,6451,1760
130210,3298,4028
130220,5686,5116
130230,10552,7440
130240,24207,13494
130250,60174,24967
130255,7062,15739
130260,1792881,9133
130270,20349,26668
130280,8753,8775
130290,25832,26404
130300,7010,11268
130310,13626,17070
130320,9499,5224
130330,14074,7377
130340,69890,32143
130350,9264,8902
130353,13001,14174
130356,12205,13514
130360,6856,11290
130370,12947,11534
130380,19054,18842
130390,14263,17159
130395,5904,4801
130400,4029,4415
130406,36355,15917
130410,10618,8459
130420,50069,11384
130423,8899,8180
130426,6795,5096
130430,9886,7208
130440,10448,7389
140002,1219,8108
140005,4780,11668
140010,277799,6514
140015,3711,7232
140017,2257,11645
140020,10910,7488
140023,3324,4790
140028,4078,4618
140030,8935,5857
140040,2311,6629
140045,4514,5919
140047,10673,13606
140050,4755,2014
140060,4455,2295
140070,1138,7237
150010,82998,58102
150013,6034,746
150020,12621,40948
150030,9478,25564
150034,4876,20181
150040,27722,24904
150050,19965,13649
150060,84092,14983
150070,9494,15265
150080,470819,1161
150085,9833,10710
150090,18240,22257
150095,8168,18378
150100,3179,12670
150110,10661,13203
150120,18555,18327
150125,1282,2149
150130,36297,63562
150140,1381475,11924
150145,6852,9466
150150,28912,22739
150157,8158,7140
150160,3827,9803
150170,72621,40606
150172,6899,8791
150175,4308,3009
150178,29308,23185
150180,46560,46300
150190,8099,17596
150195,5532,20952
150200,7356,13087
150210,52838,68058
150215,20727,5989
150220,50732,12907
150230,21441,30452
150240,153378,19771
150250,2510,18495
150260,3661,7720
150270,32464,13093
150275,15088,13128
150276,2711,7755
150277,12530,5758
150280,10930,17619
150285,5781,6473
150290,12174,22120
150293,32516,18803
150295,16578,15208
150300,6128,2049
150304,8714,9054
150307,8607,16427
150309,21082,9354
150310,9580,19482
150320,21207,14680
150330,26205,31872
150340,2771,7266
150345,12227,39082
150350,6524,24840
150360,70682,26811
150370,20490,30730
150375,4930,9173
150380,45683,5677
150390,15852,31234
150400,6197,18824
150405,23052,4852
150410,3795,4320
150420,186270,47399
150430,11656,16720
150440,11704,14901
150442,107123,1123
150445,9559,17769
150450,5503,19305
150460,18279,8452
150470,25162,44856
150480,24565,30897
150490,14521,19683
150495,7964,12194
150497,7726,6919
150500,5520,8150
150503,17717,7407
150506,27950,34100
150510,25466,23867
150520,11432,17163
150530,40147,22647
150540,7438,8873
150543,19913,7446
150548,13747,26232
150549,4546,2929
150550,76511,21308
150553,138690,15218
150555,3641,2392
150560,4169,3685
150563,3581,9116
150565,4854,19080
150570,12424,13575
150580,24852,27320
150590,14583,19373
150600,8959,20390
150610,6391,3877
150611,5313,7098
150613,70065,5491
150616,13512,4185
150618,34696,12268
150619,15273,24814
150620,33391,4030
150630,12672,7511
150635,5458,11683
150640,3994,4161
150650,43000,16466
150655,8693,10731
150658,6357,10849
150660,13328,9698
150670,29663,26490
150680,215790,78790
150690,1809,4332
150700,14871,11803
150710,6958,9933
150715,15254,7876
150720,6589,23257
150730,45113,46227
150740,5113,9947
150745,13590,11997
150746,1031,4234
150747,10487,10160
150750,2586,10569
150760,31884,19683
150770,9902,13002
150775,3325,1722
150780,6470,6575
150790,21015,1986
150795,58713,20584
150796,4334,5928
150797,10335,6614
150800,31563,24955
150803,7256,20199
150805,5679,11196
150808,26907,6783
150810,92442,4686
150812,28525,14816
150815,24430,20359
150820,32353,15536
150830,18397,38319
150835,5362,8069
150840,31492,9081
160005,2575,1805
160010,6959,1110
160015,5963,4809
160020,7307,1693
160021,2442,2254
160023,4175,1627
160025,1754,2511
160027,37904,2038
160030,381214,16990
160040,8272,8760
160050,13852,6657
160053,10809,6000
160055,1881,1912
160060,99111,2151
160070,6516,6047
160080,10302,2126
170025,1476,915
170030,4142,1020
170035,4756,915
170040,6009,1577
170070,7765,609
170100,8144,1721
170105,1938,1237
170110,3313,900
170130,2230,3652
170190,2925,3392
170200,5882,2904
170210,142925,7559
170215,3386,1644
170220,20135,11194
170230,5455,1287
170240,7371,3274
170255,13176,2774
170270,2482,964
170290,7621,1654
170300,4929,5495
170305,1685,1437
170307,2186,1937
