wcode,ucode,distance
82014,140002,0.445363
82014,140015,0.0371536
82014,140040,0.0
82014,140045,0.262764
82014,140070,0.67639
82022,140002,0.568024
82022,140005,0.310535
82022,140010,0.0
82022,140030,0.309964
82022,140040,0.644843
82022,140045,0.614172
82022,140070,1.36864
82024,140002,0.583767
82024,140005,0.340532
82024,140010,0.0
82024,140015,0.10923
82024,140017,0.00105763
82024,140030,0.320674
82024,140040,0.64511
82024,140045,0.630737
82024,140070,1.38047
82042,140020,0.0
82042,140023,1.33861
82042,140028,0.149794
82042,140047,0.733796
82042,140050,1.32862
82042,140060,1.09512
82067,130380,0.0
82096,150250,0.0
82096,160010,0.65894
82096,160021,0.383747
82096,160025,0.0606808
82096,160050,2.31273
82096,160055,0.974184
82096,160070,0.544901
82098,150030,0.0404913
82098,160005,1.23091
82098,160010,1.41527
82098,160015,0.919122
82098,160020,1.62588
82098,160021,0.875114
82098,160023,0.477356
82098,160025,0.530562
82098,160030,0.0
82098,160040,0.112628
82098,160050,2.4527
82098,160053,0.360171
82098,160055,1.40088
82098,160060,0.027277
82098,160070,0.987868
82099,150250,0.510806
82099,160005,1.18823
82099,160010,1.30849
82099,160015,0.879136
82099,160020,1.5653
82099,160021,0.768475
82099,160023,0.37398
82099,160025,0.441784
82099,160030,0.0
82099,160050,2.39066
82099,160053,0.268018
82099,160055,1.31219
82099,160070,0.884519
82106,130360,0.644933
82106,130380,0.0
82113,130040,0.0
82141,150200,0.209649
82141,150250,0.568371
82141,150260,0.177384
82141,150290,0.535641
82141,150630,0.012616
82141,150640,0.632215
82141,150700,0.262191
82141,150710,0.217369
82141,150746,0.483107
82141,150790,0.0
82141,150820,0.188226
82143,150290,0.408678
82143,150320,0.368835
82143,150410,0.257105
82143,150430,0.0651849
82143,150440,0.277679
82143,150500,0.362165
82143,150620,0.0
82143,150690,0.220901
82143,150740,0.568548
82143,150747,0.086192
82143,150796,0.553909
82145,150090,0.239164
82145,150160,0.347127
82145,150170,0.0394532
82145,150195,0.658358
82145,150220,0.0777822
82145,150230,0.506917
82145,150307,0.803575
82145,150320,0.50162
82145,150350,0.682462
82145,150410,0.672447
82145,150430,0.503892
82145,150440,0.694854
82145,150495,0.841639
82145,150500,0.392475
82145,150540,0.357969
82145,150560,0.306146
82145,150610,0.121816
82145,150611,0.108332
82145,150620,0.512244
82145,150655,0.237849
82145,150660,0.580202
82145,150690,0.338663
82145,150747,0.274527
82145,150803,0.0
82145,150830,0.431534
82178,150285,0.312885
82178,150390,0.21454
82178,150510,0.0
82178,150530,0.172081
82181,150040,0.33001
82181,150480,0.0
82181,150600,0.116254
82184,150050,0.214136
82184,150310,0.129343
82184,150590,0.0
82184,160027,0.821115
82184,160080,0.518791
82188,150070,0.653218
82188,150110,0.219114
82188,150180,0.0
82188,150280,0.0895729
82188,150450,0.072126
82188,150580,0.182405
82191,150010,0.287431
82191,150020,0.0764335
82191,150080,0.0240257
82191,150095,0.880628
82191,150130,0.081847
82191,150140,0.0
82191,150150,0.135297
82191,150190,0.142856
82191,150240,0.401934
82191,150275,0.519294
82191,150340,0.307681
82191,150405,0.952755
82191,150442,0.0703193
82191,150470,0.226126
82191,150490,0.531553
82191,150570,0.28878
82191,150635,0.199344
82191,150650,0.173642
82191,150720,0.596087
82191,150740,0.601845
82191,150760,0.500453
82191,150796,0.62462
82191,150800,0.743183
82193,150130,0.0474509
82193,150140,0.0
82193,150150,0.134661
82193,150490,0.507283
82193,150570,0.229948
82193,150635,0.185291
82198,210055,0.461622
82198,210083,0.181718
82198,210130,0.0648377
82198,210197,0.715239
82198,210260,0.138328
82198,210290,0.587284
82198,210370,0.358256
82198,210430,0.341785
82198,210467,0.525963
82198,210565,0.632999
82198,210620,0.476185
82198,210632,0.559057
82198,210680,0.580684
82198,210923,0.736996
82198,211178,0.306341
82198,211240,0.0
82198,211245,0.33204
82212,130160,0.0
82212,130210,0.413274
82212,130220,0.210247
82212,130280,0.344995
82212,130423,0.975083
82240,130050,0.0968962
82240,130300,0.214673
82240,130340,0.0
82240,150300,0.420531
82240,150797,0.474776
82244,150040,0.283727
82244,150680,0.0
82244,150815,0.822162
82246,150145,0.0
82246,1504752,0.121595
82246,150565,0.827811
82246,150680,0.0593248
82246,150815,0.884973
82263,150210,0.0
82263,150330,0.176454
82263,150400,0.247467
82263,150460,0.221972
82263,150520,0.228864
82263,150770,0.471576
82263,150795,0.731253
82280,210020,0.180812
82280,210070,0.624781
82280,210110,0.194466
82280,210125,0.246743
82280,210135,0.224325
82280,210190,0.458658
82280,210237,0.396338
82280,210240,0.28275
82280,210310,0.593491
82280,210312,0.591134
82280,210490,0.499604
82280,210500,0.461189
82280,210510,0.186653
82280,210540,0.673313
82280,210710,0.320377
82280,210750,0.0246248
82280,210760,0.643402
82280,210840,0.50912
82280,210905,0.691213
82280,210920,0.404165
82280,210945,0.0657341
82280,210960,0.205954
82280,211020,0.508956
82280,211100,0.566288
82280,211120,0.0084973
82280,211130,0.0
82281,210070,0.572174
82281,210110,0.164582
82281,210125,0.193141
82281,210135,0.196208
82281,210190,0.452443
82281,210237,0.360334
82281,210240,0.238298
82281,210510,0.171584
82281,210540,0.629533
82281,210710,0.290057
82281,210760,0.615403
82281,210840,0.482423
